Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
XOM,52.42,Call,55.00,03/13/20,9,0.26,0.38,0.50,0.39,4339,1200,3.62,38.16%,03/04/20
WLL,1.59,Call,2.00,03/20/20,16,0.12,0.14,0.15,0.15,1335,370,3.61,211.29%,03/04/20
ABT,82.09,Call,85.00,04/17/20,44,1.81,2.28,2.74,1.99,562,157,3.58,27.46%,03/04/20
ROKU,109.61,Put,90.00,03/06/20,2,0.07,0.1,0.12,0.10,3476,972,3.58,137.23%,03/04/20
ZM,116.8,Put,115.00,03/06/20,2,6.40,7.2,8.00,7.60,572,161,3.55,247.96%,03/04/20
MA,302.36,Put,170.00,04/09/20,36,0.00,0.09,0.17,0.21,712,201,3.54,80.10%,03/04/20
LUV,46.93,Put,35.00,01/15/21,317,2.50,2.6,2.70,2.60,519,148,3.51,48.11%,03/04/20
FDX,136.41,Call,137.00,03/06/20,2,1.24,1.48,1.73,1.24,618,176,3.51,37.44%,03/04/20
TSLA,749.5,Put,745.00,03/06/20,2,16.30,17.15,18.00,17.00,2135,612,3.49,87.02%,03/04/20
UNH,289.42,Call,307.50,03/06/20,2,0.09,0.15,0.21,0.27,649,187,3.47,51.40%,03/04/20
TSLA,749.5,Call,750.00,03/13/20,9,38.80,39.72,40.65,40.65,1264,365,3.46,86.84%,03/04/20
LVS,57.25,Call,59.50,03/06/20,2,0.10,0.22,0.33,0.28,526,153,3.44,60.26%,03/04/20
MRNA,27.49,Call,28.00,03/06/20,2,0.85,0.93,1.00,0.90,1578,461,3.42,138.69%,03/04/20
DD,44.16,Put,37.50,01/15/21,317,3.05,3.2,3.35,3.25,1503,443,3.39,41.45%,03/04/20
AIG,42.54,Call,42.00,03/06/20,2,0.78,0.89,1.00,0.61,3484,1035,3.37,19.96%,03/04/20
UBER,34.53,Put,34.00,03/06/20,2,0.40,0.5,0.59,0.54,1671,497,3.36,76.87%,03/04/20
KMI,20.23,Call,21.00,09/18/20,198,1.02,1.06,1.09,1.01,809,242,3.34,21.24%,03/04/20
UBER,34.53,Call,33.50,03/13/20,9,1.71,1.85,1.98,1.75,978,293,3.34,54.18%,03/04/20
